Column1,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,pca1,pca2
71983,0kD1j1yVuagqofnTB8vs6t,311,Grassroots,Omaha Stylee,38,254106,True,0.61,0.861,7,-8.568,1,0.105,0.00451,0.0,0.205,0.8,153.547,4,metal,1.5050113160140144,0.23238388197540838
32061,1ER18JtNiSnKkZX26zdkG9,6091,Kummati,Kummati,45,213333,False,0.578,0.459,11,-11.68,1,0.0863,0.674,0.349,0.377,0.182,152.94,4,electronic,-1.5043092693299682,-0.6183007163700476
32302,4989oYzF1MRcOdGpfsBmCy,6091,Thillana,Thillana,29,165477,False,0.746,0.768,8,-9.463,1,0.17,0.0548,0.0643,0.292,0.52,157.045,4,electronic,1.0653615935080953,0.0909951856021327
32353,6q3ZtllOMCRITWNmzT8siw,6091,With you,With you,28,180000,False,0.663,0.487,1,-12.89,1,0.0372,0.637,0.528,0.11,0.422,137.061,4,electronic,-1.6052357612770458,0.15763082561955785
32604,6QWWAAktMqnx50kzSzjLVd,6091,Yajña,Yajña,25,305263,False,0.859,0.633,9,-9.894,1,0.0637,0.0157,0.863,0.0977,0.0457,109.998,4,electronic,-0.7369107354433367,-1.1044197833023974
32907,3flPNkA39KHGdkUE0cu4uV,6091,Njan Daivam,Njan Daivam,22,144084,False,0.86,0.634,9,-11.527,1,0.064,0.577,0.0685,0.0927,0.75,142.056,3,electronic,0.0227091460021573,1.8538851248783366
86351,35LIFNsMZjGJhLvRYAYxTX,Где Фантом?,Я тебя люблю,Я тебя люблю,58,196773,False,0.518,0.659,4,-9.738,1,0.0271,0.657,0.415,0.11,0.622,185.032,4,punk,-0.5553990382177039,-0.23562116227682184
86557,1CqOEa4NIRBaWR6sNHTDTo,Перемотка,Начало прекрасной дружбы,Как тебя покорить,54,218764,False,0.514,0.966,2,-4.854,1,0.0502,0.00677,0.0422,0.382,0.802,91.025,4,punk,1.6522753913407704,-0.15556885833839174
86685,53xKlevoXT2OIdDQx3KDl1,? & The Mysterians,Don't Break This Heart Of Mine,96 Tears,40,176866,False,0.65,0.562,7,-5.965,1,0.0345,0.0623,3.08e-05,0.076,0.88,123.674,4,punk,0.9890085412913704,1.1711854161037052
103903,2VRJKXrqR4ztn6WgJ28R9r,¿Téo?,In Your Body,In Your Body,61,203777,True,0.715,0.584,0,-9.004,1,0.136,0.291,0.00366,0.068,0.429,97.214,4,soul,-0.09323721378337739,0.8308720318372088
