Column1,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
71983,0kD1j1yVuagqofnTB8vs6t,311,Grassroots,Omaha Stylee,38,254106,True,0.61,0.861,7,-8.568,1,0.105,0.00451,0.0,0.205,0.8,153.547,4,metal
32061,1ER18JtNiSnKkZX26zdkG9,6091,Kummati,Kummati,45,213333,False,0.578,0.459,11,-11.68,1,0.0863,0.674,0.349,0.377,0.182,152.94,4,electronic
32302,4989oYzF1MRcOdGpfsBmCy,6091,Thillana,Thillana,29,165477,False,0.746,0.768,8,-9.463,1,0.17,0.0548,0.0643,0.292,0.52,157.045,4,electronic
32353,6q3ZtllOMCRITWNmzT8siw,6091,With you,With you,28,180000,False,0.663,0.487,1,-12.89,1,0.0372,0.637,0.528,0.11,0.422,137.061,4,electronic
32604,6QWWAAktMqnx50kzSzjLVd,6091,Yajña,Yajña,25,305263,False,0.859,0.633,9,-9.894,1,0.0637,0.0157,0.863,0.0977,0.0457,109.998,4,electronic
32907,3flPNkA39KHGdkUE0cu4uV,6091,Njan Daivam,Njan Daivam,22,144084,False,0.86,0.634,9,-11.527,1,0.064,0.577,0.0685,0.0927,0.75,142.056,3,electronic
86351,35LIFNsMZjGJhLvRYAYxTX,Где Фантом?,Я тебя люблю,Я тебя люблю,58,196773,False,0.518,0.659,4,-9.738,1,0.0271,0.657,0.415,0.11,0.622,185.032,4,punk
86557,1CqOEa4NIRBaWR6sNHTDTo,Перемотка,Начало прекрасной дружбы,Как тебя покорить,54,218764,False,0.514,0.966,2,-4.854,1,0.0502,0.00677,0.0422,0.382,0.802,91.025,4,punk
86685,53xKlevoXT2OIdDQx3KDl1,? & The Mysterians,Don't Break This Heart Of Mine,96 Tears,40,176866,False,0.65,0.562,7,-5.965,1,0.0345,0.0623,3.08e-05,0.076,0.88,123.674,4,punk
103903,2VRJKXrqR4ztn6WgJ28R9r,¿Téo?,In Your Body,In Your Body,61,203777,True,0.715,0.584,0,-9.004,1,0.136,0.291,0.00366,0.068,0.429,97.214,4,soul
37886,5MHVMHpukPz9DfsW88Bo9f,É O Tchan,É O Tchan No Havai,É O Tchan No Havaii / Citação Musical: Hawai 5-0,44,208893,False,0.723,0.823,7,-5.35,1,0.103,0.304,0.0,0.453,0.85,100.251,4,funk
86659,4SBTogXwTxT4Okzrej5PtW,Çilekeş,Y.O.K.,Yetmiyor,40,276080,False,0.472,0.749,1,-6.537,0,0.0304,0.000954,9.72e-06,0.153,0.107,141.986,4,punk
32942,2vnGorXYbAzIBijgWjzErl,Ándrue;Mythos 'N DJ Cosmo,The Heart of the Ocean,The Heart of the Ocean,32,355009,False,0.587,0.915,11,-4.893,0,0.0322,0.0116,0.602,0.255,0.165,138.026,4,electronic
86487,21GXTV2KRrWSeKgDN8nlJh,Árbol,Triste Hora,El Fantasma,0,237800,False,0.62,0.609,7,-4.779,1,0.0291,0.201,0.0,0.0625,0.621,139.065,4,punk
86489,2fGcRXnPv8I9qy2JdpwCGR,Árbol,Rock x siempre,El Fantasma,0,237800,False,0.62,0.609,7,-4.779,1,0.0291,0.201,0.0,0.0625,0.621,139.065,4,punk
86574,2FBAM2dVhCex33z30YA7hV,Árbol,GUAU!,Canciones,41,139306,False,0.61,0.829,2,-2.177,1,0.0663,0.0901,0.0,0.136,0.963,147.898,4,punk
86633,2Vm4Uy2fsUcyRjViraNRPH,Árbol,GUAU!,Chikanorexika,40,231866,False,0.683,0.911,5,-3.332,0,0.0665,0.162,0.0,0.0726,0.879,92.003,4,punk
86726,0bGIiqXgKcQ2zvGc5PVnXc,Árbol,Chapusong,Enes,40,194040,True,0.684,0.737,9,-4.236,1,0.0468,0.0121,7.68e-06,0.171,0.588,139.077,4,punk
86766,2SmmevhFsgczaqU8pUDgaN,Árbol,GUAU!,Suerte!,40,159693,False,0.6,0.9,6,-2.328,1,0.0744,0.00872,0.0,0.0307,0.695,99.557,4,punk
86860,5wox6DMRibm9xFZklhWmSZ,Árbol,Escapar,Escapar,39,176643,False,0.45,0.755,0,-5.872,1,0.0316,0.0139,0.0,0.17,0.243,179.886,3,punk
71782,641epaxGPCWU6j2SIdQ6v7,ÖTENAZİ;Mavi,OTENAZI FASHION,OTENAZI FASHION,40,158568,True,0.94,0.581,2,-12.619,1,0.4,0.0442,0.0,0.372,0.662,116.969,4,metal
71690,0UIrLwFq3cvTg5vBMmlfjp,ŠKWOR,Tváře smutnejch hrdinů,Nejistá přítomnost,42,236506,False,0.603,0.789,10,-4.918,0,0.029,0.000244,1.52e-06,0.101,0.506,115.011,4,metal
86871,7tdvNIkzAYUcCWxRi7NvhY,Štěpán Soukup,Tommy Poser,Alkoholka 2015,37,205250,False,0.622,0.738,8,-3.551,0,0.0301,0.000897,6.19e-06,0.105,0.466,125.005,4,punk
86917,7tdvNIkzAYUcCWxRi7NvhY,Štěpán Soukup,Tommy Poser,Alkoholka 2015,37,205250,False,0.622,0.738,8,-3.551,0,0.0301,0.000897,6.19e-06,0.105,0.466,125.005,4,punk
103956,2LfBDbOiUrtt823XLBH30H,12AM,Drugs,Drugs,47,162858,True,0.586,0.783,1,-4.901,0,0.038,0.151,5.98e-05,0.458,0.182,83.996,4,soul
86519,3IKUuAJghlmAkjBKbXaGjS,175R,175R BEST 「ANNIVERSARY 1998-2018」,ハッピーライフ,39,209000,False,0.498,0.978,8,-2.908,1,0.116,1.41e-05,1.8e-06,0.141,0.359,132.949,4,punk
32891,5tDALG04wtaoINgjNXK1cn,1988;Kukon,Ruleta,Dutch,35,202533,False,0.639,0.376,2,-12.91,1,0.141,0.13,0.0143,0.132,0.119,139.914,4,electronic
86420,4Bm9mh2IiaMU77PuIqIvsR,2 minutos,No Estés Triste,No Estés Triste,43,226041,False,0.572,0.958,0,-5.136,1,0.0709,0.00818,9.75e-06,0.394,0.36,99.963,4,punk
86499,5vF5JqvpoeRmh1Yj188ZNA,2 minutos,Amigos de lo Ajeno,Un velero llamado Libertad,42,214573,False,0.453,0.955,8,-4.363,1,0.0536,0.000143,0.0874,0.0408,0.648,104.258,4,punk
86975,2MJGIie6rHtECQnhbFdnX7,2 minutos,Amor en Pandemia,Amor en Pandemia,38,167115,False,0.527,0.978,4,-4.338,1,0.0772,0.000206,1.03e-05,0.336,0.473,102.538,4,punk
32626,5zSLlhe4kThCv0otCTv5CL,22 Void Beats;Sneaky Ollie;Milano The Don,Motivation,Motivation,38,118583,False,0.469,0.95,9,-6.459,1,0.443,0.0264,0.00453,0.19,0.312,149.883,4,electronic
32979,3TBwN5fIDPS8NbypGJKTfn,22 Void Beats;Sneaky Ollie;Peter Piffen,Straight Up,Straight Up,36,165708,False,0.646,0.893,9,-5.188,1,0.0689,0.0497,0.000798,0.33,0.764,145.06,4,electronic
53956,7iUB3byx9Rcks8zW10JVkP,220 KID;LANY,Stupid Feelings,Stupid Feelings,68,166924,False,0.715,0.778,6,-6.546,0,0.0365,0.0152,0.0,0.121,0.756,123.954,4,house
